GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pokedex-api,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
pokedex-api,fr.univavignon.pokedex.api,PokemonFactory,0,21,0,0,0,3,0,2,0,2
pokedex-api,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
pokedex-api,fr.univavignon.pokedex.api,PokemonMetadataProvider,0,22,1,3,0,4,1,3,0,2
pokedex-api,fr.univavignon.pokedex.api,Pokedex,0,77,1,3,0,17,1,9,0,8
pokedex-api,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
pokedex-api,fr.univavignon.pokedex.api,RocketPokemonFactory,0,109,0,6,0,27,0,7,0,4
pokedex-api,fr.univavignon.pokedex.api,PokemonTrainerFactory,0,15,0,0,0,3,0,2,0,2
pokedex-api,fr.univavignon.pokedex.api,PokedexFactory,0,9,0,0,0,2,0,2,0,2
pokedex-api,fr.univavignon.pokedex.api,PokemonTrainer,3,18,0,0,1,7,1,3,1,3
pokedex-api,fr.univavignon.pokedex.api,PokemonComparators,41,0,0,0,8,0,3,0,3,0
pokedex-api,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
